#time pid %cpu %MEM App
11 1223 7.8 0.2 bowtie2-align-s
16 1223 7.8 2.8 bowtie2-align-s
22 1223 7.8 5.4 bowtie2-align-s
27 1223 9.8 8.0 bowtie2-align-s
33 1223 9.7 10.5 bowtie2-align-s
38 1223 9.7 13.1 bowtie2-align-s
44 1223 7.8 15.6 bowtie2-align-s
49 1223 7.8 18.2 bowtie2-align-s
55 1223 766.2 21.0 bowtie2-align-s
60 1223 760.4 21.0 bowtie2-align-s
66 1223 756.5 21.1 bowtie2-align-s
72 1223 775.1 21.1 bowtie2-align-s
77 1223 760.7 21.1 bowtie2-align-s
83 1223 774.5 21.2 bowtie2-align-s
88 1223 783.2 21.2 bowtie2-align-s
94 1223 779.6 21.3 bowtie2-align-s
99 1223 785.7 21.3 bowtie2-align-s
105 1223 761.2 21.4 bowtie2-align-s
111 1223 780.2 21.4 bowtie2-align-s
116 1223 785.6 21.4 bowtie2-align-s
122 1223 782.4 21.5 bowtie2-align-s
127 1223 773.5 21.5 bowtie2-align-s
133 1223 764.4 21.6 bowtie2-align-s
138 1223 740.8 21.6 bowtie2-align-s
144 1223 786.8 21.6 bowtie2-align-s
150 1223 778.4 21.6 bowtie2-align-s
155 1223 766.1 21.7 bowtie2-align-s
161 1223 778.2 21.7 bowtie2-align-s
166 1223 780.1 21.7 bowtie2-align-s
172 1223 786.0 21.7 bowtie2-align-s
177 1223 738.9 21.8 bowtie2-align-s
183 1223 765.2 21.8 bowtie2-align-s
189 1223 757.2 21.9 bowtie2-align-s
194 1223 780.2 21.9 bowtie2-align-s
200 1223 782.9 21.9 bowtie2-align-s
205 1223 761.5 22.0 bowtie2-align-s
211 1223 769.3 22.0 bowtie2-align-s
216 1223 774.6 22.0 bowtie2-align-s
222 1223 763.8 22.1 bowtie2-align-s
228 1223 760.2 22.1 bowtie2-align-s
233 1223 764.5 22.1 bowtie2-align-s
239 1223 777.8 22.2 bowtie2-align-s
244 1223 786.2 22.2 bowtie2-align-s
250 1223 778.7 22.2 bowtie2-align-s
255 1223 781.8 22.2 bowtie2-align-s
261 1223 762.2 22.3 bowtie2-align-s
267 1223 781.7 22.3 bowtie2-align-s
272 1223 789.3 22.4 bowtie2-align-s
278 1223 766.1 22.4 bowtie2-align-s
283 1223 761.8 22.4 bowtie2-align-s
289 1223 764.7 22.4 bowtie2-align-s
294 1223 773.0 22.5 bowtie2-align-s
300 1223 780.2 22.5 bowtie2-align-s
306 1223 773.0 22.5 bowtie2-align-s
311 1223 762.2 22.5 bowtie2-align-s
317 1223 781.8 22.6 bowtie2-align-s
322 1223 778.5 22.6 bowtie2-align-s
